0,116.0,1
1,187.0,1
2,191.0,1
0,246.0,2
2,287.0,2
2,290.0,3
1,294.0,2
1,307.0,3
1,310.0,4
0,107.0,1
1,159.0,1
2,172.0,1
2,174.0,2
0,242.0,2
1,272.0,2
2,273.0,3
2,284.0,4
0,337.0,3
1,365.0,3
1,367.0,4
1,369.0,5
1,388.0,6
2,426.0,5
0,435.0,4
0,443.0,5
1,504.0,7
1,506.0,8
1,517.0,9
0,562.0,6
0,565.0,7
0,574.0,8
2,591.0,6
1,662.0,10
2,709.0,7
0,715.0,9
1,778.0,11
1,787.0,12
0,824.0,10
1,1270.0,1
0,1379.0,1
1,2626.0,2
1,2629.0,3
1,2633.0,4
1,2655.0,5
1,2661.0,6
1,2665.0,7
1,2670.0,8
0,2795.0,2
0,2939.0,3
0,3070.0,4
0,3073.0,5
0,3201.0,6
0,4631.0,7
1,4788.0,9
1,4791.0,10
0,5020.0,8
0,5508.0,9
0,5711.0,10
1,5820.0,11
0,5941.0,11
1,6242.0,12
1,7534.0,13
0,7942.0,12
0,8044.0,13
1,8161.0,14
0,8580.0,14
1,9342.0,15
1,9357.0,16
1,9361.0,17
1,9391.0,18
1,9399.0,19
1,9403.0,20
1,9408.0,21
1,9422.0,22
1,9442.0,23
1,9449.0,24
1,9463.0,25
1,9465.0,26
1,9471.0,27
1,9509.0,28
0,9541.0,15
0,9548.0,16
0,9555.0,17
0,9650.0,18
0,9654.0,19
0,9682.0,20
0,9691.0,21
1,11923.0,29
1,12051.0,30
0,12191.0,22
0,12195.0,23
1,12217.0,31
0,12316.0,24
1,12414.0,32
0,12424.0,25
0,12428.0,26
1,12543.0,33
1,12547.0,34
0,12556.0,27
1,12655.0,35
1,12673.0,36
0,12702.0,28
1,12796.0,37
1,12880.0,38
0,12884.0,29
0,13016.0,30
0,133.0,1
1,253.0,1
0,285.0,2
5,306.0,1
5,308.0,2
1,354.0,2
0,385.0,3
5,406.0,3
0,229.0,1
2,240.0,1
3,260.0,1
2,331.0,2
0,332.0,2
3,364.0,2
3,366.0,3
2,431.0,3
11,453.0,1
3,499.0,4
0,535.0,3
11,552.0,2
8,553.0,1
2,559.0,4
2,565.0,5
2,574.0,6
0,637.0,4
3,654.0,5
11,675.0,3
2,710.0,7
0,760.0,5
3,768.0,6
2,820.0,8
11,832.0,4
10,843.0,1
6,866.0,1
0,923.0,6
11,933.0,5
0,253.0,1
1,304.0,1
0,354.0,2
1,400.0,2
0,123.0,1
2,220.0,1
0,270.0,2
1,272.0,1
0,274.0,3
4,281.0,1
0,293.0,4
4,295.0,2
0,313.0,5
2,326.0,2
0,352.0,6
1,388.0,2
1,391.0,3
0,451.0,7
0,67.0,1
2,127.0,1
1,143.0,1
4,187.0,1
0,230.0,2
3,234.0,1
1,260.0,2
2,279.0,2
2,293.0,3
4,299.0,2
4,307.0,3
2,313.0,4
3,326.0,2
0,332.0,3
2,354.0,5
4,400.0,4
3,419.0,3
3,422.0,4
2,454.0,6
1,470.0,3
0,113.0,1
1,157.0,1
2,186.0,1
2,188.0,2
3,212.0,1
0,245.0,2
1,267.0,2
0,271.0,3
0,276.0,4
2,285.0,3
2,287.0,4
3,316.0,2
3,332.0,3
0,342.0,5
1,365.0,3
1,367.0,4
1,388.0,5
1,391.0,6
1,400.0,7
2,435.0,5
2,438.0,6
0,443.0,6
1,504.0,8
1,514.0,9
3,522.0,4
1,524.0,10
0,567.0,7
0,574.0,8
2,599.0,7
0,191.0,1
1,194.0,1
0,230.0,2
0,232.0,3
2,293.0,1
2,302.0,2
1,102.0,1
0,108.0,1
0,161.0,2
3,196.0,1
2,216.0,1
2,218.0,2
3,246.0,2
2,248.0,3
1,256.0,2
0,310.0,3
0,115.0,1
1,116.0,1
0,168.0,2
1,269.0,2
0,316.0,3
2,329.0,1
2,332.0,2
2,358.0,3
2,361.0,4
1,369.0,3
0,414.0,4
0,95.0,1
0,97.0,2
0,146.0,3
1,151.0,1
1,204.0,2
2,207.0,1
0,295.0,4
2,311.0,2
2,319.0,3
2,321.0,4
2,323.0,5
1,349.0,3
0,395.0,5
1,446.0,4
0,104.0,1
0,106.0,2
1,119.0,1
0,158.0,3
1,271.0,2
0,121.0,1
0,174.0,2
1,177.0,1
1,228.0,2
0,321.0,3
1,372.0,3
2,417.0,1
0,420.0,4
1,469.0,4
0,609.0,5
1,652.0,5
0,704.0,6
1,745.0,6
0,840.0,7
1,887.0,7
0,1007.0,8
1,1057.0,8
0,1105.0,9
1,1157.0,9
3,1186.0,1
3,1557.0,2
0,1562.0,10
1,1598.0,10
